Unnamed: 0,Jz,kepid,age,feh_x,logg_x,period,teff_x,tm_designation,teff_y,teff_err1,teff_err2,logg_y,logg_err1,logg_err2,feh_y,feh_err1,feh_err2,mass,mass_err1,mass_err2,radius,radius_err1,radius_err2,dens,dens_err1,dens_err2,prov_sec,kepmag,dist,dist_err1,dist_err2,nconfp,nkoi,ntce,datalink_dvr,st_delivname,st_vet_date_str,ra,dec,st_quarters,teff_prov,logg_prov,feh_prov,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,dutycycle,dataspan,mesthres01p5,mesthres02p0,mesthres02p5,mesthres03p0,mesthres03p5,mesthres04p5,mesthres05p0,mesthres06p0,mesthres07p5,mesthres09p0,mesthres10p5,mesthres12p0,mesthres12p5,mesthres15p0,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0,av,av_err1,av_err2,tgas_hip,tgas_tycho2_id,tgas_solution_id,tgas_source_id,tgas_random_index,tgas_ref_epoch,tgas_ra,tgas_ra_error,tgas_dec,tgas_dec_error,tgas_parallax,tgas_parallax_error,tgas_pmra,tgas_pmra_error,tgas_pmdec,tgas_pmdec_error,tgas_ra_dec_corr,tgas_ra_parallax_corr,tgas_ra_pmra_corr,tgas_ra_pmdec_corr,tgas_dec_parallax_corr,tgas_dec_pmra_corr,tgas_dec_pmdec_corr,tgas_parallax_pmra_corr,tgas_parallax_pmdec_corr,tgas_pmra_pmdec_corr,tgas_astrometric_n_obs_al,tgas_astrometric_n_obs_ac,tgas_astrometric_n_good_obs_al,tgas_astrometric_n_good_obs_ac,tgas_astrometric_n_bad_obs_al,tgas_astrometric_n_bad_obs_ac,tgas_astrometric_delta_q,tgas_astrometric_excess_noise,tgas_astrometric_excess_noise_sig,tgas_astrometric_primary_flag,tgas_astrometric_relegation_factor,tgas_astrometric_weight_al,tgas_astrometric_weight_ac,tgas_astrometric_priors_used,tgas_matched_observations,tgas_duplicated_source,tgas_scan_direction_strength_k1,tgas_scan_direction_strength_k2,tgas_scan_direction_strength_k3,tgas_scan_direction_strength_k4,tgas_scan_direction_mean_k1,tgas_scan_direction_mean_k2,tgas_scan_direction_mean_k3,tgas_scan_direction_mean_k4,tgas_phot_g_n_obs,tgas_phot_g_mean_flux,tgas_phot_g_mean_flux_error,tgas_phot_g_mean_mag,tgas_phot_variable_flag,tgas_l,tgas_b,tgas_ecl_lon,tgas_ecl_lat,tgas_match_distance,parallax_snr
398,2.5975543499120706,8006161.0,3.2372529281556535,0.3399999999999999,4.485000000000001,29.86036803870409,5390.0,2MASS J18443514+4349599,5390,84.0,-84.0,4.485,0.01,-0.01,0.34,0.09,-0.09,0.97,0.06,-0.06,0.93,0.02,-0.02,1.685,0.03845,-0.03887,MULT10,7.364,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,281.14645,43.833309,11111111111111111,SPE6,AST10,SPE6,6.087999999999999,0.021,5.751,0.016,5.67,0.021,0.8738,1459.789,7.215,10.261,12.759,15.294,15.124,16.119,13.156,10.826,8.965,7.1,7.1,7.1,7.1,7.1,25.229,24.654,25.319000000000006,25.403,26.025,26.375,26.234,26.195,26.471,26.649,26.873,27.308000000000003,27.617,29.02,,,,91949,b'            ',1635378410781933568,2117278998434010240,1601340,2015.0,281.1457199092128,0.2021840269522196,43.833267003555285,0.1970648501028584,36.80818765034207,0.21579167874623287,-105.55985286325199,0.06501294517848526,-1.9059242529282652,0.07618253976931558,0.13031230866909027,0.14485710859298706,0.11607231944799425,0.015643995255231857,0.13510584831237793,0.009013311006128788,0.023585787042975426,-0.004664148669689894,-0.043373025953769684,0.27396589517593384,97,97,94,96,3,1,3.702523231506348,0.3240171961036781,68.29388045350093,False,3.2957658767700195,8.341439247131348,8.313659236591775e-06,3,15,False,0.5287086367607117,0.1789078414440155,0.12072242796421052,0.29592931270599365,-92.45980072021484,-42.13445281982422,-20.28710174560547,-32.85518264770508,109,20231246.924060646,8736.709023612955,7.2597134370481955,b'NOT_AVAILABLE',73.00246237363382,19.572352002183756,290.4542602126376,66.48289920882343,9.326413542257518e-05,170.57278512406327
415,0.5580566134098821,7970740.0,1.3798777131484516,-0.20000000000000004,4.556966786652953,18.02809390150439,5394.0,2MASS J19414564+4344515,5394,56.0,-56.0,4.557,0.017,-0.018000000000000002,-0.2,0.3,-0.3,0.82,0.11,-0.05,0.8,0.03,-0.02,2.3,0.1123,-0.1116,MULT10,7.777,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,295.44019,43.747639,11111111111111111,PHO10,AST10,PHO10,6.517,0.023,6.1610000000000005,0.022,6.085,0.018000000000000002,0.8725,1459.789,10.153,16.587,27.054,33.927,36.354,28.208,25.747,22.915,18.609,17.301,14.582,13.368,12.469,10.723,16.487000000000002,15.945,16.215999999999998,16.082,16.175,15.921,15.814,15.723,15.642,15.765,15.91,16.142,16.253,16.952,,,,-2147483648,b'3148-1740-1 ',1635378410781933568,2078105323280815360,1948900,2015.0,295.44048162592907,0.1787787258575477,43.748012821448356,0.17816712388087413,36.6198958720596,0.2280378668327821,51.032760230096464,0.6952147982811481,74.87075966488993,0.5697110680605628,-0.1145969107747078,-0.28121262788772583,-0.12499824911355972,-0.09289197623729706,0.5581416487693787,-0.3905691802501679,-0.3944757580757141,-0.4849679470062256,-0.2466583847999573,0.13696478307247162,88,88,87,86,1,2,,0.30514013172346865,49.274647054557974,False,1.542675256729126,8.96642780303955,8.053312740230467e-06,5,15,False,0.4884108901023865,0.12730073928833008,0.1405639797449112,0.3173881769180298,-103.59012603759766,11.89036750793457,24.42879867553711,0.3543594181537628,99,13470452.330336714,7493.4334289455055,7.7013146154998635,b'NOT_AVAILABLE',77.19622045976203,10.094221799295532,313.8128894662847,63.369208043880455,6.189129294581761e-05,160.58690769508297
222,5.814389256143202,4736074.0,1.4187977662472009,-0.5995026069511727,4.619893561639861,20.913594014651945,4932.3950587085465,2MASS J19135880+3950358,4932,155.0,-141.0,4.62,0.055,-0.047,-0.6,0.34,-0.3,0.636,0.077,-0.037000000000000005,0.647,0.07200000000000001,-0.055,3.31,0.7905,-0.6265,DSEP,9.577,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,288.49503,39.8433,11111111111111111,PHO1,KIC0,KIC0,8.187999999999999,0.025,7.732,0.022,7.612999999999999,0.021,0.8745,1459.7179999999998,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,28.159,27.702,28.701,29.087,29.913,31.04,31.392,32.158,33.772,35.053000000000004,36.359,37.947,38.624,42.297,,,,94497,b'            ',1635378410781933568,2099780545756559744,476262,2015.0,288.49466367023575,0.18184218266096575,39.84243716937536,0.18376880694205344,19.680671153421873,0.21428660639593525,-51.48952667553554,0.17320191041563096,-193.63131822159446,0.143329119016722,-0.22837372124195102,-0.3488530516624451,-0.038907870650291436,-0.030838778242468837,0.2589486837387085,-0.10792425274848938,-0.0623021200299263,-0.1838502436876297,-0.046354439109563834,-0.08316733688116074,123,123,122,122,1,1,0.9995954036712646,0.3119124188657045,149.65426937800015,False,3.1841754913330083,9.386632919311523,2.336825855309144e-05,3,18,False,0.11967159062623978,0.1661142259836197,0.15478457510471344,0.11549735069274902,-115.43193817138672,51.50551986694336,1.6041423082351685,-19.45452117919922,148,2547785.5225817314,3794.671226092975,9.509362900168671,b'NOT_AVAILABLE',71.28388930772067,13.005173106398148,300.5160406951434,61.336767189525396,8.713642615635565e-05,91.84274969130871
65,0.6923029651417114,10801273.0,1.1942742450561838,-0.2199587178878315,4.7228665907240215,29.22620710805273,3961.061982666937,2MASS J19335498+4808147,3961,82.0,-76.0,4.723,0.053,-0.038,-0.22,0.28,-0.3,0.547,0.055999999999999994,-0.054000000000000006,0.5329999999999999,0.05,-0.056,5.0760000000000005,1.3430000000000002,-0.8169,DSEP,10.565,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,293.4791,48.137421,11111111111111111,SPE14,PHO54,PHO54,8.546,0.027000000000000003,7.9,0.017,7.79,0.022,0.8745,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,25.685,23.869,23.492,22.632,22.345,21.734,21.357,21.075,20.917,20.898000000000003,21.016,21.323,21.4,22.217,,,,-2147483648,b'3560-2104-1 ',1635378410781933568,2128853110663326080,227587,2015.0,293.4789382871985,0.16658807939104806,48.13743403495737,0.2805984320030599,26.34377149665144,0.3482118517915434,-14.803093185380671,1.813089406152504,10.194734147768619,0.9829385832471336,0.2659346461296081,0.2949013411998749,-0.2910633981227875,-0.2198759913444519,0.6616791486740112,-0.6519784927368164,-0.10178950428962708,-0.8536668419837952,0.20696687698364255,-0.4830836355686188,104,104,104,103,0,1,,0.5856008043115751,290.6655409620745,False,5.763099193572997,2.609205961227417,2.2462068955064748e-05,5,15,False,0.45151141285896296,0.2925944626331329,0.2228720337152481,0.21902593970298767,-90.32898712158205,61.3145866394043,37.95869064331055,35.873050689697266,113,1110091.9673907831,541.7098443305092,10.411372663550019,b'NOT_AVAILABLE',80.55472026207352,13.305336319635645,315.05790252023087,67.93674267959302,5.481724462752692e-05,75.65443669166696
96,0.10317140274261416,11652870.0,0.33024783007895425,-0.16072489900873405,4.374584147139369,7.4701489244220225,5516.042206703232,2MASS J19054621+4944573,5516,155.0,-128.0,4.373,0.15,-0.267,-0.16,0.32,-0.24,0.8190000000000001,0.13699999999999998,-0.061,0.976,0.407,-0.153,1.242,0.8227,-0.7677,DSEP,9.05,,,,0,0,1,011/011652/011652870/dv/kplr011652870-20141002224145_dvr.pdf,q1_q17_dr24_stellar,2015-01-15,286.4425700000001,49.74926,11111110111011101,PHO1,KIC0,KIC0,7.901,0.058,7.517,0.036000000000000004,7.449,0.024,0.698,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.104,7.1,7.1,7.1,7.1,7.1,7.1,7.1,28.174,28.559,30.425,31.582,33.158,35.073,35.677,37.465,40.825,43.534,46.026,49.12,50.18600000000001,57.277,,,,-2147483648,b'3549-2487-1 ',1635378410781933568,2132082994788531328,926084,2015.0,286.44232650078106,0.17378582450953306,49.7489534306248,0.2838785992084576,19.29927616259066,0.2724800021719448,-32.53968917108282,1.044751499810658,-71.09189253606567,0.773021163266104,0.16872034966945648,0.15795323252677915,-0.12912410497665405,-0.34729790687561035,0.32213616371154785,-0.3603865504264832,-0.583145022392273,-0.7236500978469849,-0.07526763528585434,-0.19507372379302976,70,70,68,69,2,1,,0.4537631367736666,177.25544114198468,False,4.510156631469727,4.71934175491333,1.956793312274385e-05,5,13,False,0.3144635558128357,0.2752256095409393,0.4934294819831848,0.3824268281459808,-90.35226440429688,57.80509567260742,38.71465301513672,32.0521240234375,87,4226774.8276271485,4852.742153266342,8.959747282997448,b'NOT_AVAILABLE',80.18385463415748,18.184629443507827,304.61297951289237,71.21780427412273,2.409010683199803e-05,70.82822962696586
281,0.12901021643298868,5774694.0,1.3476184847827182,0.07000000000000002,4.462974866656041,12.103697139543733,5875.0,2MASS J19041638+4100113,5875,84.0,-84.0,4.463,0.017,-0.019,0.07,0.09,-0.09,1.06,0.05,-0.06,1.0,0.03,-0.03,1.496,0.08606,-0.08648,MULT10,8.308,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,286.06824,41.003174,11110111011101110,SPE6,AST10,SPE6,7.221,0.019,6.975,0.027000000000000003,6.931,0.022,0.6916,1426.3129999999999,7.1,7.1,8.218,11.688,13.167,12.759,11.697,11.734000000000002,9.114,8.818999999999997,8.169,7.836,7.921,7.335,23.498,23.691,25.142,25.787,26.978,28.358,28.804,30.163,32.521,34.649,36.609,39.056,39.923,45.206,,,,93657,b'            ',1635378410781933568,2103791392376229248,1084587,2015.0,286.06832546288837,0.20543324729156426,41.003151553666974,0.2319415952811965,18.511337641336556,0.2686942795923568,15.675063706976097,0.041238530596829914,-6.792035840677871,0.04734307363446608,-0.483458399772644,-0.6466505527496338,0.19351951777935028,-0.08758900314569472,0.4984512329101562,-0.12308791279792786,0.17334668338298798,-0.16700135171413422,0.06791316717863083,0.016808373853564262,88,88,87,86,1,2,5.466677188873291,0.5125852783631046,181.87526816683558,False,5.067651271820068,3.5393428802490234,1.2681860425800549e-05,3,14,False,0.2293696403503418,0.34260445833206177,0.4330242276191712,0.2615269124507904,-70.78485870361328,67.41107177734375,-6.4517250061035165,-9.699641227722168,103,8622341.26692056,9576.711245015977,8.185707043929714,b'NOT_AVAILABLE',71.60988660568009,15.163545689634836,297.3192231906621,62.92663234310578,5.910442406486852e-06,68.89367972187794
400,5.207925630097467,7986589.0,3.3783447762244507,0.039440569301406346,4.090068152199502,27.276088960993828,5451.899612483451,2MASS J19581072+4342501,5452,159.0,-129.0,4.09,0.343,-0.297,0.04,0.26,-0.24,0.9179999999999999,0.12,-0.065,1.431,0.8190000000000001,-0.478,0.4414,1.019,-0.3007,DSEP,9.129,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,299.54468,43.713928,11111111111111111,PHO1,KIC0,KIC0,7.926,0.032,7.516,0.033,7.513,0.031,0.8745,1459.769,7.1,7.1,7.1,7.127999999999999,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,24.619,23.969,24.677,24.909,25.592,26.153,26.106,26.372,26.847,27.375,28.273000000000003,29.081,29.422,31.501,,,,-2147483648,b'3149-1878-1 ',1635378410781933568,2076001888817467136,1252029,2015.0,299.544053651355,0.14490401244650458,43.71356792673549,0.20711158403877605,16.366491942864553,0.2490066806008143,-119.51007907909585,1.0759253341732051,-87.03344120635904,0.798896921606549,0.26176971197128296,0.36682453751564026,-0.4921270310878754,-0.29937663674354553,0.5189864635467529,-0.5380347967147827,-0.4546060860157013,-0.7794530987739563,-0.28732985258102417,0.2444017380475998,95,95,93,94,2,1,,0.3757109476570841,170.18948583204687,False,3.7762262821197514,6.625209331512451,2.0104920622543432e-05,5,14,False,0.5328006148338318,0.28957250714302063,0.1059361845254898,0.24668265879154205,-100.83679962158205,85.4811019897461,11.656700134277346,14.64447784423828,111,3944018.296871018,4543.571986365126,9.034922761268714,b'NOT_AVAILABLE',78.63810792608017,7.49386190041982,319.7195574425461,62.148368266642144,4.530411494761535e-05,65.72711986431352
533,0.18908344853870554,9955598.0,5.204234582173909,0.08,4.498,34.00498964814285,5460.0,2MASS J19344300+4651099,5460,75.0,-75.0,4.498,0.009000000000000001,-0.009000000000000001,0.08,0.101,-0.101,0.9179999999999999,0.057,-0.057,0.893,0.018000000000000002,-0.018000000000000002,1.811,0.003239,-0.003239,MULT8,9.439,,,,1,1,1,009/009955/009955598/dv/kplr009955598-20141002224145_dvr.pdf,q1_q17_dr24_stellar,2015-01-15,293.6792,46.85276,11111111111111111,SPE8,AST8,SPE8,8.2,0.018000000000000002,7.837999999999999,0.02,7.768,0.022,0.8746,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,20.281,18.781,18.387,17.598,17.207,16.344,15.961,15.493,15.098,14.757,14.56,14.462,14.428,14.583,,,,-2147483648,b'3556-878-1  ',1635378410781933568,2128215909315876352,739947,2015.0,293.67920482873365,0.1326985667507203,46.85273450464321,0.2002856467445861,14.412453123845616,0.2417011355036464,5.0584733700458875,1.062741253185587,-6.2878121373205484,0.6975817825214566,0.3693632483482361,0.2538627088069916,-0.37895724177360535,-0.3095288574695587,0.5589156150817871,-0.5528894662857056,-0.5012085437774658,-0.8349827527999878,-0.028664777055382732,-0.0934598296880722,104,104,103,101,1,3,,0.3111979008068425,122.31101216754,False,3.1776013374328613,9.600272178649902,1.983043694053777e-05,5,16,False,0.36959365010261536,0.15872666239738464,0.19826053082942965,0.20644138753414154,-108.92430877685548,86.3553466796875,46.82417678833008,16.827095031738278,118,3007415.3154706354,3597.51143035415,9.329286546164619,b'NOT_AVAILABLE',79.4330557164183,12.6169054497679,314.00130437522233,66.71079447177107,1.7788639992159694e-05,59.629232166466934
292,6.3199576307273535,6116048.0,3.0642698955623646,-0.2400000000000001,4.268999999999999,17.209764772679613,5935.0,2MASS J19174635+4124366,5935,84.0,-84.0,4.269,0.008,-0.008,-0.24,0.09,-0.09,1.0,0.06,-0.05,1.21,0.03,-0.03,0.7886,0.01845,-0.01859,MULT10,8.418,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,289.44318,41.410179,11111111111111111,SPE6,AST10,SPE6,7.438,0.044,7.1789999999999985,0.026,7.121,0.017,0.8742,1459.769,7.1,7.1,8.057,10.019,10.640999999999998,9.189,8.669,8.234,10.583,9.194,7.135,7.106,7.142,7.1,21.338,19.751,19.265,18.311,17.833,16.875,16.451,15.928,15.337,15.136,15.091,15.132,15.157,15.51,,,,-2147483648,b'3129-3278-1 ',1635378410781933568,2101479875339251968,685704,2015.0,289.44289335899407,0.1454631943639315,41.410542875727856,0.21153574530200056,13.306374689264267,0.22737591488416636,-46.66483239026564,0.7924391876979521,74.42711756538017,0.7201624469934963,0.07119923830032349,0.11256974935531616,-0.2698700428009033,-0.21136358380317688,0.27643829584121704,-0.3500472605228424,-0.3883552849292755,-0.6494943499565125,-0.18850143253803253,0.16654039919376373,99,99,99,98,0,1,,0.33837262028871506,85.84985491881417,False,3.4286000728607178,7.2984514236450195,1.0943273082375526e-05,5,15,False,0.5436245799064636,0.2989560663700104,0.1407119482755661,0.1202414259314537,-108.11973571777344,81.3730697631836,4.75173282623291,3.0787181854248047,117,7525817.959606643,6953.478184237551,8.333385791203035,b'NOT_AVAILABLE',73.05465633288355,13.007813796671519,302.90969820841593,62.645975301680835,5.7553151008037315e-05,58.521478389841874
252,0.1406929201820537,5184732.0,2.0164561655905966,0.38,4.258000000000002,19.874369494361943,5840.0,2MASS J19243033+4019237,5840,84.0,-84.0,4.258,0.009000000000000001,-0.009000000000000001,0.38,0.09,-0.09,1.17,0.06,-0.06,1.33,0.03,-0.03,0.7009,0.01704,-0.01718,MULT10,8.165,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,291.12637,40.323261,11111111111111111,SPE6,AST10,SPE6,7.119,0.02,6.893,0.021,6.8210000000000015,0.016,0.8742,1459.769,7.1,10.712,11.33,12.611,14.609000000000002,12.004,11.36,9.758,8.227,7.1,7.1,7.1,7.1,7.1,26.874,25.309,24.997,24.162,23.827,22.875,22.473000000000006,22.044,21.812,21.942,22.131,22.376,22.462,23.018,,,,-2147483648,b'3138-636-1  ',1635378410781933568,2101493035115409024,1015729,2015.0,291.1264881351658,0.1799180079542887,40.323072931883154,0.2282519222926605,14.192796675998302,0.2622882558813234,6.441189153143033,0.5536045550658613,-40.82207678220056,0.5225582660966498,-0.3028966784477234,-0.304144024848938,-0.2547929883003235,0.10645073652267456,0.6384545564651489,-0.21884825825691226,-0.4333312809467316,-0.3948622941970825,-0.25272002816200256,0.14442920684814453,71,71,71,68,0,3,,0.3974125581842144,52.97030195963593,False,1.8277134895324707,5.54740047454834,7.07189201420988e-06,5,12,False,0.4192744493484497,0.10994072258472444,0.3084526062011719,0.4933301210403442,-143.99325561523438,54.12347793579102,5.82981538772583,-13.736915588378904,80,9218462.706197044,6298.165022688219,8.113123806185072,b'NOT_AVAILABLE',72.60985450702374,11.39090490194444,304.82009893323226,61.23305725758535,6.57344040879956e-05,54.11144554798544
